Building,Time,Weekday,Student_Count_Building
Ubcmns,9:30,Thursday,23
Wilkeson,9:30,Thursday,25
Academ,9:30,Tuesday,380
Alfier,9:30,Tuesday,139
Alumni,9:30,Tuesday,98
Baird,9:30,Tuesday,163
Baldy,9:30,Tuesday,350
Bell,9:30,Tuesday,77
Bonner,9:30,Tuesday,8
CFA,9:30,Tuesday,110
Capen,9:30,Tuesday,206
Cfa,9:30,Tuesday,62
Clemen,9:30,Tuesday,533
Cooke,9:30,Tuesday,284
Davis,9:30,Tuesday,97
Frnczk,9:30,Tuesday,185
Furnas,9:30,Tuesday,34
Grein,9:30,Tuesday,38
Hoch,9:30,Tuesday,151
Jacobs,9:30,Tuesday,137
Knox,9:30,Tuesday,685
Math,9:30,Tuesday,97
Norton,9:30,Tuesday,322
Nsc,9:30,Tuesday,1134
Obrian,9:30,Tuesday,532
Park,9:30,Tuesday,185
Talbrt,9:30,Tuesday,209
Ubcmns,9:30,Tuesday,23
Wilkeson,9:30,Tuesday,25
Academ,9:30,Wednesday,81
Alfier,9:30,Wednesday,98
Alumni,9:30,Wednesday,49
Baird,9:30,Wednesday,64
Baldy,9:30,Wednesday,297
Bell,9:30,Wednesday,60
CFA,9:30,Wednesday,90
Capen,9:30,Wednesday,135
Cfa,9:30,Wednesday,45
Clemen,9:30,Wednesday,419
Cooke,9:30,Wednesday,292
Davis,9:30,Wednesday,72
Frnczk,9:30,Wednesday,185
Furnas,9:30,Wednesday,28
Hoch,9:30,Wednesday,136
Jacobs,9:30,Wednesday,212
Jarvis,9:30,Wednesday,5
Ketter,9:30,Wednesday,17
Knox,9:30,Wednesday,387
Math,9:30,Wednesday,65
Norton,9:30,Wednesday,303
Nsc,9:30,Wednesday,917
Obrian,9:30,Wednesday,360
Park,9:30,Wednesday,114
Talbrt,9:30,Wednesday,208
Wilkeson,9:30,Wednesday,11
Academ,9:45,Monday,81
Alfier,9:45,Monday,98
Alumni,9:45,Monday,25
Baldy,9:45,Monday,74
CFA,9:45,Monday,90
Capen,9:45,Monday,65
Cfa,9:45,Monday,45
Clemen,9:45,Monday,66
Cooke,9:45,Monday,34
Frnczk,9:45,Monday,6
Grein,9:45,Monday,32
Jacobs,9:45,Monday,161
Obrian,9:45,Monday,186
Park,9:45,Monday,40
Talbrt,9:45,Monday,53
Academ,9:45,Thursday,356
Alfier,9:45,Thursday,139
Alumni,9:45,Thursday,83
Baird,9:45,Thursday,163
Baldy,9:45,Thursday,273
Bell,9:45,Thursday,67
Bonner,9:45,Thursday,8
CFA,9:45,Thursday,110
Capen,9:45,Thursday,136
Cfa,9:45,Thursday,62
Clemen,9:45,Thursday,492
Cooke,9:45,Thursday,284
Davis,9:45,Thursday,97
Frnczk,9:45,Thursday,144
Furnas,9:45,Thursday,68
Grein,9:45,Thursday,1
Hoch,9:45,Thursday,170
Jacobs,9:45,Thursday,122
Knox,9:45,Thursday,685
Math,9:45,Thursday,97
Norton,9:45,Thursday,339
Nsc,9:45,Thursday,1084
Obrian,9:45,Thursday,451
Park,9:45,Thursday,190
Talbrt,9:45,Thursday,174
Ubcmns,9:45,Thursday,23
Wilkeson,9:45,Thursday,25
Academ,9:45,Tuesday,380
Alfier,9:45,Tuesday,139
Alumni,9:45,Tuesday,83
Baird,9:45,Tuesday,163
Baldy,9:45,Tuesday,300
Bell,9:45,Tuesday,67
Bonner,9:45,Tuesday,8
CFA,9:45,Tuesday,110
Capen,9:45,Tuesday,176
Cfa,9:45,Tuesday,62
Clemen,9:45,Tuesday,533
Cooke,9:45,Tuesday,284
Davis,9:45,Tuesday,97
Frnczk,9:45,Tuesday,153
Furnas,9:45,Tuesday,34
Grein,9:45,Tuesday,38
Hoch,9:45,Tuesday,175
Jacobs,9:45,Tuesday,110
Knox,9:45,Tuesday,685
Math,9:45,Tuesday,97
Norton,9:45,Tuesday,322
Nsc,9:45,Tuesday,1134
Obrian,9:45,Tuesday,532
Park,9:45,Tuesday,185
Talbrt,9:45,Tuesday,174
Ubcmns,9:45,Tuesday,23
Wilkeson,9:45,Tuesday,25
Academ,9:45,Wednesday,35
Alfier,9:45,Wednesday,98
Alumni,9:45,Wednesday,27
Baldy,9:45,Wednesday,55
CFA,9:45,Wednesday,90
Capen,9:45,Wednesday,65
Cfa,9:45,Wednesday,45
Clemen,9:45,Wednesday,61
Cooke,9:45,Wednesday,58
Frnczk,9:45,Wednesday,43
Furnas,9:45,Wednesday,28
Jacobs,9:45,Wednesday,161
Jarvis,9:45,Wednesday,5
Nsc,9:45,Wednesday,90
Obrian,9:45,Wednesday,244
Park,9:45,Wednesday,65
Talbrt,9:45,Wednesday,74
Wilkeson,9:45,Wednesday,11
Academ,10:00,Friday,68
Alfier,10:00,Friday,25
Alumni,10:00,Friday,108
Arr,10:00,Friday,5
Baird,10:00,Friday,141
Baldy,10:00,Friday,343
Bell,10:00,Friday,80
Bonner,10:00,Friday,18
Capen,10:00,Friday,171
Cfa,10:00,Friday,9
Clemen,10:00,Friday,408
Cooke,10:00,Friday,137
Davis,10:00,Friday,120
Frnczk,10:00,Friday,151
Furnas,10:00,Friday,50
Hoch,10:00,Friday,149
Jacobs,10:00,Friday,236
Knox,10:00,Friday,753
Math,10:00,Friday,37
Norton,10:00,Friday,232
Nsc,10:00,Friday,1149
Obrian,10:00,Friday,317
Park,10:00,Friday,154
Talbrt,10:00,Friday,269
Academ,10:00,Monday,174
Alfier,10:00,Monday,123
Alumni,10:00,Monday,190
Baird,10:00,Monday,162
Baldy,10:00,Monday,415
Bell,10:00,Monday,98
CFA,10:00,Monday,90
Capen,10:00,Monday,199
Cfa,10:00,Monday,298
Clemen,10:00,Monday,478
Cooke,10:00,Monday,157
Davis,10:00,Monday,120
Frnczk,10:00,Monday,80
Furnas,10:00,Monday,41
Grein,10:00,Monday,32
Hoch,10:00,Monday,149
Jacobs,10:00,Monday,213
Knox,10:00,Monday,746
Math,10:00,Monday,38
Norton,10:00,Monday,230
Nsc,10:00,Monday,1149
